table,column,dataset_id,predicted_semantic_type
MLB_27,column_33,MLB_27+column_33,SH
MLB_65,column_19,MLB_65+column_19,CS
MLB_25,column_46,MLB_25+column_46,X3B
MLB_30,column_18,MLB_30+column_18,GIDP
MLB_65,column_9,MLB_65+column_9,CS
MLB_42,column_41,MLB_42+column_41,X1B
Rentabilidad_3,column_53,Rentabilidad_3+column_53,latitude
MLB_12,column_31,MLB_12+column_31,X2B
MLB_14,column_0,MLB_14+column_0,AB
Rentabilidad_7,column_57,Rentabilidad_7+column_57,longitude
MLB_8,column_8,MLB_8+column_8,GIDP
MLB_26,column_46,MLB_26+column_46,X3B
MLB_50,column_20,MLB_50+column_20,HR
MLB_37,column_37,MLB_37+column_37,SO
MLB_29,column_46,MLB_29+column_46,X3B
MLB_35,column_42,MLB_35+column_42,TB
MLB_35,column_48,MLB_35+column_48,iBB
MLB_42,column_20,MLB_42+column_20,H
MLB_30,column_32,MLB_30+column_32,SF
MLB_9,column_24,MLB_9+column_24,X1B
MLB_25,column_18,MLB_25+column_18,GIDP
MLB_50,column_48,MLB_50+column_48,X3B
MLB_7,column_24,MLB_7+column_24,X1B
MLB_42,column_36,MLB_42+column_36,SO
Rentabilidad_3,column_57,Rentabilidad_3+column_57,longitude
MLB_48,column_20,MLB_48+column_20,HBP
MLB_43,column_36,MLB_43+column_36,SO
Rentabilidad_1,column_57,Rentabilidad_1+column_57,longitude
MLB_36,column_48,MLB_36+column_48,iBB
MLB_8,column_0,MLB_8+column_0,AB
MLB_33,column_4,MLB_33+column_4,BB
MLB_29,column_18,MLB_29+column_18,GIDP
MLB_27,column_46,MLB_27+column_46,X3B
MLB_28,column_46,MLB_28+column_46,X3B
MLB_13,column_31,MLB_13+column_31,X2B
MLB_31,column_37,MLB_31+column_37,SO
MLB_41,column_36,MLB_41+column_36,SO
MLB_49,column_48,MLB_49+column_48,X3B
YaleLanguages_4,column_0,YaleLanguages_4+column_0,year
MLB_44,column_20,MLB_44+column_20,H
MLB_9,column_0,MLB_9+column_0,AB
MLB_33,column_48,MLB_33+column_48,iBB
Rentabilidad_2,column_52,Rentabilidad_2+column_52,latitude
MLB_61,column_37,MLB_61+column_37,SB
MLB_27,column_18,MLB_27+column_18,GIDP
MLB_9,column_10,MLB_9+column_10,SO
MLB_1,column_0,MLB_1+column_0,AB
MLB_62,column_37,MLB_62+column_37,SB
MLB_21,column_32,MLB_21+column_32,SF
MLB_34,column_4,MLB_34+column_4,BB
MLB_60,column_22,MLB_60+column_22,HR
MLB_48,column_36,MLB_48+column_36,SB
MLB_45,column_20,MLB_45+column_20,HBP
Rentabilidad_6,column_57,Rentabilidad_6+column_57,longitude
MLB_63,column_19,MLB_63+column_19,CS
MLB_43,column_41,MLB_43+column_41,X1B
MLB_58,column_21,MLB_58+column_21,HBP
Rentabilidad_5,column_53,Rentabilidad_5+column_53,latitude
Rentabilidad_2,column_55,Rentabilidad_2+column_55,longitude
Rentabilidad_4,column_57,Rentabilidad_4+column_57,longitude
MLB_44,column_41,MLB_44+column_41,X1B
MLB_20,column_32,MLB_20+column_32,SF
MLB_25,column_33,MLB_25+column_33,SH
MLB_60,column_10,MLB_60+column_10,CS
MLB_46,column_20,MLB_46+column_20,HBP
MLB_11,column_8,MLB_11+column_8,GIDP
MLB_30,column_33,MLB_30+column_33,SH
MLB_37,column_42,MLB_37+column_42,TB
MLB_41,column_20,MLB_41+column_20,H
MLB_59,column_22,MLB_59+column_22,HR
MLB_64,column_19,MLB_64+column_19,CS
MLB_32,column_42,MLB_32+column_42,TB
MLB_49,column_20,MLB_49+column_20,HR
MLB_28,column_18,MLB_28+column_18,GIDP
MLB_46,column_34,MLB_46+column_34,R
MLB_32,column_48,MLB_32+column_48,iBB
MLB_8,column_10,MLB_8+column_10,SO
MLB_46,column_36,MLB_46+column_36,SB
MLB_37,column_4,MLB_37+column_4,BB
MLB_36,column_37,MLB_36+column_37,SO
MLB_60,column_21,MLB_60+column_21,HBP
MLB_59,column_21,MLB_59+column_21,HBP
MLB_14,column_31,MLB_14+column_31,X2B
MLB_10,column_0,MLB_10+column_0,AB
MLB_20,column_42,MLB_20+column_42,TB
MLB_11,column_10,MLB_11+column_10,SO
MLB_62,column_10,MLB_62+column_10,CS
MLB_25,column_32,MLB_25+column_32,SF
MLB_28,column_32,MLB_28+column_32,SF
MLB_48,column_34,MLB_48+column_34,R
MLB_58,column_10,MLB_58+column_10,CS
MLB_7,column_8,MLB_7+column_8,GIDP
Rentabilidad_6,column_53,Rentabilidad_6+column_53,latitude
MLB_36,column_4,MLB_36+column_4,BB
Rentabilidad_9,column_53,Rentabilidad_9+column_53,latitude
MLB_47,column_36,MLB_47+column_36,SB
Rentabilidad_7,column_53,Rentabilidad_7+column_53,latitude
MLB_29,column_33,MLB_29+column_33,SH
MLB_58,column_37,MLB_58+column_37,SB
MLB_7,column_25,MLB_7+column_25,X2B
MLB_10,column_8,MLB_10+column_8,GIDP
MLB_51,column_46,MLB_51+column_46,X3B
MLB_50,column_46,MLB_50+column_46,X3B
MLB_32,column_37,MLB_32+column_37,SO
MLB_34,column_42,MLB_34+column_42,TB
MLB_31,column_42,MLB_31+column_42,TB
Rentabilidad_1,column_53,Rentabilidad_1+column_53,latitude
MLB_34,column_37,MLB_34+column_37,SO
MLB_36,column_42,MLB_36+column_42,TB
MLB_49,column_33,MLB_49+column_33,SH
MLB_33,column_37,MLB_33+column_37,SO
MLB_21,column_42,MLB_21+column_42,TB
MLB_62,column_22,MLB_62+column_22,HR
MLB_51,column_48,MLB_51+column_48,X3B
MLB_12,column_0,MLB_12+column_0,AB
MLB_8,column_25,MLB_8+column_25,X2B
Rentabilidad_5,column_57,Rentabilidad_5+column_57,longitude
MLB_10,column_24,MLB_10+column_24,X1B
MLB_10,column_10,MLB_10+column_10,SO
MLB_59,column_37,MLB_59+column_37,SB
