table,column,dataset_id,predicted_semantic_type
CommonGovernment_10,column_55,CommonGovernment_10+column_55,year
CommonGovernment_11,column_55,CommonGovernment_11+column_55,year
CommonGovernment_13,column_55,CommonGovernment_13+column_55,year
CommonGovernment_6,column_55,CommonGovernment_6+column_55,year
CommonGovernment_7,column_55,CommonGovernment_7+column_55,year
CommonGovernment_8,column_55,CommonGovernment_8+column_55,year
CommonGovernment_9,column_55,CommonGovernment_9+column_55,year
MLB_10,column_37,MLB_10+column_37,year
MLB_10,column_24,MLB_10+column_24,X1B
MLB_11,column_24,MLB_11+column_24,X1B
MLB_12,column_45,MLB_12+column_45,year
MLB_14,column_45,MLB_14+column_45,year
MLB_15,column_9,MLB_15+column_9,CS
MLB_15,column_36,MLB_15+column_36,SB
MLB_15,column_47,MLB_15+column_47,TB
MLB_16,column_20,MLB_16+column_20,CS
MLB_16,column_36,MLB_16+column_36,SB
MLB_16,column_47,MLB_16+column_47,TB
MLB_17,column_20,MLB_17+column_20,CS
MLB_17,column_36,MLB_17+column_36,SB
MLB_17,column_47,MLB_17+column_47,TB
MLB_18,column_20,MLB_18+column_20,CS
MLB_19,column_58,MLB_19+column_58,year
MLB_19,column_0,MLB_19+column_0,AB
MLB_19,column_18,MLB_19+column_18,GIDP
MLB_20,column_58,MLB_20+column_58,year
MLB_20,column_18,MLB_20+column_18,GIDP
MLB_21,column_58,MLB_21+column_58,year
MLB_21,column_0,MLB_21+column_0,AB
MLB_22,column_58,MLB_22+column_58,year
MLB_22,column_20,MLB_22+column_20,HR
MLB_22,column_45,MLB_22+column_45,X2B
MLB_24,column_20,MLB_24+column_20,HR
MLB_24,column_45,MLB_24+column_45,X2B
MLB_25,column_58,MLB_25+column_58,year
MLB_25,column_4,MLB_25+column_4,BB
MLB_25,column_32,MLB_25+column_32,SF
MLB_26,column_32,MLB_26+column_32,SF
MLB_26,column_45,MLB_26+column_45,X2B
MLB_27,column_4,MLB_27+column_4,BB
MLB_27,column_32,MLB_27+column_32,SF
MLB_28,column_58,MLB_28+column_58,year
MLB_28,column_4,MLB_28+column_4,BB
MLB_28,column_32,MLB_28+column_32,SF
MLB_28,column_45,MLB_28+column_45,X2B
MLB_29,column_4,MLB_29+column_4,BB
MLB_29,column_45,MLB_29+column_45,X2B
MLB_30,column_58,MLB_30+column_58,year
